line	valence	arousal	dominance
Yes: smart, strong, rational, experienced.	0	0	0
no	0	0	0
Nothing positive	0.514	0.1	0.45199999999999996
No	0	0	0
I've never heard anything positive about Hilary Clinton	0.514	0.1	0.45199999999999996
no	0	0	0
She is most qualified to be President	0.14100000000000001	-0.18599999999999997	-0.01200000000000001
nothing I would consider positive	0.336	-0.19866666666666666	0.284
not responding to trumps outbursts	0	0	0
Medicare for 50 plus	0	0	0
Experienced pragmatist	0	0	0
no, media is focused on Clinton/Sanders primary battles	0.06400000000000006	-0.35	0.2699999999999999
Not much	0	0	0
No	0	0	0
no	0	0	0
QUALIFIED	0	0	0
she is the most qualified candidate.	0	0	0
Standing up for reproductive rights and wage equality	0.22866666666666666	-0.13399999999999995	0.014666666666666717
No	0	0	0
Lots	0	0	0
No	0	0	0
Foreign policy experience	0.03466666666666668	-0.17066666666666672	0.18933333333333335
Nothing	0	0	0
No	0	0	0
N/A	0	0	0
No	0	0	0
She stands up for the rights of women, the poor, immigrants and children. She has great political experience so she is ready to effectively lead the country.	0.23759999999999995	-0.21200000000000002	0.15799999999999997
Nothing	0	0	0
pro choice	0.2720000000000001	-0.267	0.28800000000000003
Experienced	0	0	0
Gets things done	0	0	0
no	0	0	0
There is nothing positive to say.	0.514	0.1	0.45199999999999996
no	0	0	0
No	0	0	0
No.	0	0	0
no	0	0	0
She supports control of assult weapons	-0.11400000000000006	-0.04800000000000004	0.09399999999999994
she's coming back to Detroit Monday!	-0.04800000000000004	-0.48200000000000004	0.04399999999999995
none	0	0	0
no	0	0	0
no	0	0	0
Yes she is inspiring	0	0	0
She is smart	0.546	-0.238	0.36199999999999993
no	0	0	0
no	0	0	0
None	0	0	0
nothing positive	0.514	0.1	0.45199999999999996
experienced capable progressive	0.33099999999999996	-0.16200000000000003	0.36800000000000005
NO	0	0	0
nothing	0	0	0
no	0	0	0
nothing	0	0	0
No	0	0	0
no	0	0	0
nothing	0	0	0
No	0	0	0
Nothing	0	0	0
She wants to help our country and not allow guns in public	0.24049999999999996	-0.28500000000000003	0.21450000000000002
nothing	0	0	0
Nothing	0	0	0
No	0	0	0
