line	valence	arousal	dominance
Yes: that he's a liar, a bully, a coward, a narcissistic sociopath, and a bigoted misogynist troll.	-0.4	0.0	-0.011999999999999922
mud slinging about Bill	-0.18300000000000005	-0.281	-0.17300000000000004
no	0	0	0
Nothing negative	-0.496	0.009999999999999964	-0.142
yes, one of his delegates was arrested for sexual assault	-0.014666666666666717	0.09466666666666666	0.06999999999999999
He does not say what he is going to do just that he is going to make America Great Again	0.2455	-0.20450000000000004	0.305
He's an idiot fascist.	-0.394	-0.030000000000000072	-0.15999999999999998
anything else he says	0	0	0
He lies.	0	0	0
nothing that I thought was negative.	0.352	-0.16799999999999998	0.23000000000000007
called john mccain a loser for being captured after he was shot down in the vietnam war.	-0.43300000000000005	0.04200000000000004	-0.20799999999999996
Where to begin	0.2880000000000001	-0.43	0.14399999999999996
Too many to list. Views on women, race,	0	0	0
unhinged. totalitarian. dangerous	-0.534	0.36199999999999993	-0.488
refuses to release tax returns	-0.03600000000000003	-0.09300000000000005	-0.057999999999999996
Plenty, everytime he opens his mouth	0.11799999999999997	-0.17200000000000007	0.2
Too many to mention	0.07799999999999993	-0.47000000000000003	0.06600000000000002
everything	0	0	0
too much to mention	0.07799999999999993	-0.47000000000000003	0.06600000000000002
Inconsistent positions	-0.336	-0.36	-0.14000000000000004
accused of being a woman hater	-0.058000000000000024	-0.20600000000000007	0.07299999999999995
He is an extremely dangerous man. Do not under estimate him. This is how fascism begins.	-0.1905	-0.050500000000000024	-0.13050000000000003
Sexually harassed women and won't provide income tax returns Also, one of his delegates was arrested for child pornography and illegal firearms. His former butler advocates the execution of our president	-0.025400000000000006	-0.08180000000000003	-0.026400000000000007
That he lied about acting as his own publicist	-0.13599999999999995	-0.27599999999999997	0.21600000000000003
yup	0	0	0
He's an idiot	-0.394	-0.030000000000000072	-0.15999999999999998
Idiot.	0	0	0
"If he is elected it could be the end of the ""American experiment"". He is a fascist and will not moderate if elected."	-0.006000000000000003	-0.2392	0.037200000000000025
Yes He wants to meet the North Korean dictator	-0.028000000000000025	-0.2426666666666667	0.005333333333333338
Silly accusations of mistreating women (I do not believe them...)	0.2786666666666667	-0.2093333333333333	0.29399999999999993
everything	0	0	0
Treatment of women	0.0	-0.10600000000000005	-0.09399999999999994
Hillary thinks he is not presidential	-0.009999999999999964	-0.18800000000000008	0.03599999999999994
He is sexist, misogynistic, racist, classist, mean, a sexual harasser, a discriminator, a friend of Russia, a flip-flopper, anti-women, and inhumane.	0.34299999999999997	0.12400000000000001	0.33099999999999996
He was endorsed by the NRA	0	0	0
bigoted egotist	0	0	0
Liar, buffoon	-0.20999999999999996	0.14000000000000004	-0.2
Wouldn't want my kids to behave the way he does	0.23200000000000004	-0.11999999999999998	0.11999999999999998
Campaign nonsense	-0.14500000000000002	-0.19800000000000004	-0.01200000000000001
He must work on his attitude toward women.	0.014666666666666653	-0.1206666666666667	0.1373333333333333
yes	0	0	0
I don't think so	0.33599999999999997	-0.25	0.3
The usual lies.	0.09600000000000009	-0.36	0.316
The NRA supports him.	0	0	0
Changes his mind every day about everything	0.30600000000000005	-0.133	0.16799999999999998
plenty--faked being his own PR person, rushed to judgement on air crash	-0.039000000000000035	-0.22	-0.09800000000000003
He is a raving maniac	-0.3	0.15399999999999991	-0.24000000000000005
Taxes, everything he says	0	0	0
speech to NRA	0.12400000000000003	-0.18000000000000008	0.33599999999999997
none	0	0	0
No	0	0	0
yes,how he has treated woman	0.418	-0.24000000000000005	0.18599999999999994
I don't know.	0	0	0
He lies.	0	0	0
He lies	0	0	0
he had girlfriends	0	0	0
dangerous ideas, racist, bigot, sexist, makes it up as he goes along	-0.534	0.36199999999999993	-0.488
None	0	0	0
very much	0	0	0
sexist racist liar	-0.47600000000000003	0.14399999999999996	-0.12066666666666663
kelli interview	-0.06400000000000006	0.2699999999999999	0.368
alleged phony allegations	-0.386	-0.050999999999999976	-0.16400000000000003
Too much	0	0	0
none	0	0	0
Yes	0	0	0
that he bashes women	0	0	0
His attitude towards women.	-0.05600000000000005	-0.04800000000000004	0.176
erratic policies	-0.358	0.019999999999999928	-0.11999999999999993
Republican's Obama	0	0	0
Protests at rallies	0	0	0
He keeps switching his ideas. He wants to build a wall but what about the tunnels?	0.13899999999999996	-0.372	0.07199999999999997
Clinton made fun of him	0.6739999999999998	0.26400000000000007	0.40800000000000003
NY Times attempted hit piece	0.022000000000000016	-0.20599999999999996	0.14500000000000002
Nothing	0	0	0
Alleged mistreatment of women	-0.27599999999999997	0.01799999999999997	-0.14600000000000007
YES Not capable to perform duties of President	0.2506666666666667	-0.07599999999999997	0.15133333333333335
tax returns and talking with north korea	-0.12800000000000003	-0.3330000000000001	-0.195
no	0	0	0
His ways	0	0	0
No	0	0	0
he's a bully and will kick you when your down	-0.164	-0.07600000000000001	-0.007333333333333333
He lies. He spreads misinformation. People support him despite not actually liking him.	0.259	-0.318	0.15100000000000008
demeaning to others	-0.476	-0.25199999999999995	-0.166
did not pay any taxes	0.24600000000000008	-0.15199999999999997	0.266
Nothing.	0	0	0
calling the airline miss hap a terrorist attract	-0.09050000000000001	-0.02700000000000003	-0.06700000000000002
Yes. He is mysogenistic	0	0	0
He's not a conservative	-0.09000000000000004	-0.47000000000000003	-0.03599999999999994
tons and tons thanks to the media	0.546	-0.19000000000000003	0.344
nothing at all	0	0	0
Hes a megomaniac	0	0	0
Some claim of a lie 30 years ago	-0.24599999999999997	-0.12900000000000006	0.07799999999999993
He flip flopped on supreme court nominees	0.017333333333333294	-0.11133333333333334	0.024666666666666708
He opened his mouth again	0.11799999999999997	-0.17200000000000007	0.2
speaks bluntly	0	0	0
no	0	0	0
calling a million dollars a small loan	0.16666666666666666	-0.19266666666666665	-0.058666666666666624
no	0	0	0
women sholudnt work	0.009999999999999964	-0.13399999999999998	0.22400000000000003
His tax returns, etc.	-0.4	-0.09600000000000009	-0.39
Yes and just about everything	0	0	0
Not experienced enough	0	0	0
he has a negative opinion of women (according to democratic party commercials)	0.089	-0.0004999999999999866	0.15550000000000003
Unfounded claims of racism and sexism	-0.434	-0.016000000000000014	-0.09699999999999998
Reneged on donations to veterans. Lied to NRA about Clinton's stance on guns. Should I go on?	0.242	-0.22799999999999998	0.14699999999999996
yes. everything	0	0	0
liberal media says alot	0	0	0
No	0	0	0
He's wrong about many things to do with trade in China. He is sexist. He is calling for teachers to be able to have guns in the classroom.	0.108	-0.20866666666666667	0.11299999999999999
No	0	0	0
Veterans Charity	0.36999999999999994	-0.356	0.21600000000000003
none	0	0	0
na	0	0	0
no	0	0	0
no	0	0	0
Womanizer. Don't see any rape charges....	-0.21900000000000003	0.11400000000000002	-0.153
No	0	0	0
His treatment of women, minorities and he pretended to be someone else in an interview and his lies about not disclosing his tax return for ANY years	-0.007600000000000023	-0.11760000000000001	0.025200000000000007
no	0	0	0
Won't release his taxes.	0.32799999999999996	-0.09000000000000004	0.274
nothing	0	0	0
No	0	0	0
none	0	0	0
Far too much to list.	0	0	0
Nada	-0.08599999999999994	-0.25999999999999995	-0.17799999999999994
Bullshit story by NY Times on him dealing with women.	0.03399999999999997	-0.08599999999999998	-0.03666666666666666
YES	0	0	0
yes. he's a liar, sexist, bigot with no morals! he doesn't care about humans! he cut his nephew's sick baby off health insurance! the list goes on.	0.02828571428571424	-0.1777142857142857	-0.03942857142857142
no	0	0	0
Yes lots	0	0	0
yes-trails in election polls	-0.1	-0.15399999999999991	0.0
he didn't pay any taxes one year	0.2046666666666667	-0.3173333333333333	0.17999999999999994
lack of foreingn policy experience	-0.04400000000000002	-0.3833333333333333	0.23400000000000007
He called Hilary a crook which might be true	-0.09600000000000006	-0.19499999999999995	-0.06800000000000002
He has alienated Muslims, women, and Hispanics	0	0	0
yes	0	0	0
Only from liberal media	0	0	0
refusal to release tax returns	-0.16066666666666668	-0.19533333333333336	-0.04466666666666665
no	0	0	0
everything	0	0	0
Nothing	0	0	0
