line	valence	arousal	dominance
No	0	0	0
none	0	0	0
Position on gun control	-0.09000000000000002	0.05666666666666668	-0.006666666666666705
Yes. Looks like he CAN unify.	0.38500000000000006	-0.24599999999999997	0.2720000000000001
Yes, NRA endorsement	0.20999999999999996	-0.24800000000000005	0.184
no	0	0	0
"He says what ""real"" americans want to hear."	0.2	0.05800000000000001	0.07799999999999993
No	0	0	0
good supreme court choices	0.16999999999999993	-0.17533333333333334	0.09733333333333337
Nothing. He lies about everything.	0	0	0
endorsed by the NRA, provided a list of potential Supreme Court nominees 4 evaluation	0.09080000000000002	-0.15040000000000003	0.06999999999999999
nothing	0	0	0
No	0	0	0
He will uphold the 2nd amendment	0.078	-0.314	0.18466666666666665
No	0	0	0
NO !	0	0	0
No.	0	0	0
no	0	0	0
nope	0	0	0
pro gun NRA endorsed	0.0020000000000000573	0.15500000000000003	0.10300000000000004
make America great again	0.359	-0.21900000000000003	0.28700000000000003
Everything Donald Trump says is negative. He cannot stop lying. He is a pathological liar.	-0.2253333333333333	-0.26866666666666666	-0.005333333333333338
He's not a billionaire	0.2	0.35	0.2720000000000001
No.	0	0	0
nope	0	0	0
No-he's an idiot	-0.394	-0.030000000000000072	-0.15999999999999998
No	0	0	0
Nothing	0	0	0
No	0	0	0
Many positive things; I enjoy his speeches	0.524	0.05	0.454
nothing	0	0	0
NRA vote for him	0.04800000000000004	0.009999999999999964	0.358
I have never ever heard anything positive about trump	0.17400000000000002	-0.17666666666666664	0.25599999999999995
Nothing	0	0	0
take carw of every wish	0.196	-0.21000000000000005	0.133
Speaks his mind	0.34	0.009999999999999964	0.21799999999999997
are your kidding me?	0	0	0
no	0	0	0
He is against Hillary and tells it like it is.	0.4880000000000001	-0.11999999999999993	0.25600000000000006
no	0	0	0
Endorsed by the NRA	0	0	0
Yes. He has helped a lot of people.	0	0	0
3 points ahead of Clinton Fox poll	0.014999999999999944	-0.15000000000000002	0.09000000000000004
Would meet with Kim Jung Il	0.2	-0.248	0.183
no	0	0	0
He's leading Hillary on a recent national poll	0.04466666666666667	-0.23933333333333337	0.12600000000000003
No	0	0	0
none	0	0	0
No	0	0	0
no	0	0	0
no	0	0	0
No	0	0	0
he treats both his male and female employees well	0.44299999999999995	0.040000000000000036	0.23099999999999996
no	0	0	0
None	0	0	0
nothing	0	0	0
no	0	0	0
no	0	0	0
will get the job done	0.13666666666666666	-0.2953333333333334	0.1133333333333334
no	0	0	0
he is not racial	-0.27	-0.19000000000000003	-0.2
No	0	0	0
that he is going to bring change we ned to america	0.07699999999999996	-0.166	0.15299999999999994
electable	0	0	0
Good business man	0.25266666666666665	-0.21799999999999997	0.1466666666666667
Nothing	0	0	0
He says what he thinks Americans want to hear.	0.2	0.05800000000000001	0.07799999999999993
he hired a diverese amount of people in the past	0.08066666666666666	-0.19933333333333336	0.06466666666666665
Women stopping NY Times hit piece	0.006000000000000047	-0.18399999999999997	0.09200000000000007
He is for legalization of marijuana	-0.274	-0.12799999999999995	-0.04600000000000008
Party consolidating around him	0.43599999999999994	0.21600000000000003	0.184
NO	0	0	0
no	0	0	0
None	0	0	0
Will fight ISIS	-0.11399999999999996	-0.07700000000000001	0.129
No	0	0	0
no	0	0	0
Nope.	0	0	0
no	0	0	0
released income tax return	0.013999999999999985	-0.2246666666666667	0.008000000000000016
He is ahead of Clinton in the polls.	0	0	0
that he's pulling ahead of chilton	0	0	0
No	0	0	0
Not letting China take advantage of our uneven trade	0.09450000000000003	-0.1825	0.09100000000000001
good father	0.477	-0.26599999999999996	0.16000000000000006
make america great again	0.359	-0.21900000000000003	0.28700000000000003
Endorsed by the NRA	0	0	0
"Trump said the Egyptair crash was an act of terrorism and happened because ""we"" are weak. I guess he'd just go starting a war without any more reasonable acts."	-0.12775000000000003	-0.063	-0.06675
straightforward and honest	0.42999999999999994	-0.196	0.3
everything	0	0	0
no	0	0	0
no	0	0	0
... he might debate sanders	-0.009999999999999964	-0.027999999999999935	0.192
Making an effort for unity in the Republican party.	0.15999999999999995	-0.19800000000000004	0.24666666666666667
Yes	0	0	0
Smart, good leader, own person	0.3989999999999999	-0.263	0.24100000000000002
He plans to reform immigration.	0.009999999999999964	-0.04399999999999995	0.11400000000000006
Straight talk, listens to reason, non-ideologue	0	0	0
no	0	0	0
not as bad as liberal media says	-0.352	-0.027999999999999935	-0.288
no	0	0	0
No	0	0	0
he's right about some things to do with trade with China.	0.24266666666666672	-0.12533333333333332	0.318
No	0	0	0
Nothing	0	0	0
He says what I think	0.33599999999999997	-0.25	0.3
na	0	0	0
Cares for Veterans	0	0	0
no	0	0	0
Yes. He called out Fauxcohontas (Elizabeth Warren) for flipping wigwams (basically, what she accused him of doing, the hypocrite)	0.06600000000000002	-0.20999999999999996	0.0
yes	0	0	0
No	0	0	0
Not one single thing	0.1353333333333333	-0.3366666666666666	0.05333333333333332
he is on immigration issue	-0.205	-0.12300000000000005	-0.10300000000000002
Nothing	0	0	0
That he and Megan from Fox had a good interview.	0.3409999999999999	-0.19799999999999995	0.191
Yes he will be good for the country	0.27649999999999997	-0.315	0.2435
none	0	0	0
Nothing in particular	0.009999999999999964	-0.22000000000000003	0.506
Yes he's a genius	0.5039999999999999	0.24000000000000005	0.47400000000000003
Fighting back against mainstream liberal media.	-0.06900000000000003	-0.403	0.07000000000000002
No	0	0	0
no	0	0	0
get enough delegates to win nomination	0.24599999999999997	-0.11199999999999999	0.3006666666666667
Yes his short list of possiable running mates	0.206	-0.2873333333333334	0.059333333333333314
yes-listed some conservative Supreme Court choices	-0.052666666666666695	-0.2426666666666667	-0.008666666666666637
He raised money for vets	0.41999999999999993	0.37200000000000005	0.26400000000000007
about his health care plan	0.3753333333333333	-0.33266666666666667	0.256
New York Times was wrong, he calls people bad names which might be true	0.1484	-0.18439999999999998	0.032000000000000015
No	0	0	0
no	0	0	0
Yes - endorsed by NRA, fraudulant article of past girlfriends exposed	0.07699999999999996	-0.179	0.08599999999999995
no	0	0	0
who he would put on supreme court	0.03299999999999999	-0.18100000000000002	0.09650000000000004
trying to unite party	0.358	-0.07299999999999998	0.27699999999999997
nothing	0	0	0
He is toning down some of his comments.	0	0	0
none	0	0	0
no	0	0	0
Good man#	0.578	-0.26799999999999996	0.28200000000000003
chose candidates for Supreme CT	0.22799999999999992	-0.14399999999999996	0.22200000000000006
Nothing	0	0	0
no	0	0	0
yes	0	0	0
No	0	0	0
listed suprem court candidates	-0.296	-0.11400000000000006	-0.21200000000000002
Employees like him	0.4880000000000001	-0.11999999999999993	0.25600000000000006
no	0	0	0
Endorsed by NRA	0	0	0
No, he is an embarrassment	-0.45599999999999996	0.09000000000000004	-0.41600000000000004
nothing	0	0	0
Is willing to consider dialogue with n korea	0.3093333333333333	-0.4446666666666667	0.17066666666666663
HE WILL SET WASHINGTON IN A TAIL SPIN	0.03750000000000004	-0.3525	0.133
On Jimmy Kimmel last night and his handling of the baiting Kimmel was trying to do	0.209	-0.276	0.15699999999999992
Maybe pick Ben Carson as running mate	0.308	0.005999999999999996	0.24133333333333332
Nothing positive	0.514	0.1	0.45199999999999996
Says what he thinks - apolitical	0	0	0
"He has "" conversations"" with people"	0.14000000000000004	-0.246	0.08000000000000007
No	0	0	0
yes	0	0	0
no	0	0	0
no	0	0	0
No they have heard that hate for him is to grow	-0.05999999999999996	-0.17466666666666666	0.045999999999999965
He helps families in need	0.09000000000000004	-0.266	0.011999999999999922
no	0	0	0
no	0	0	0
Never	0	0	0
no	0	0	0
No	0	0	0
No.	0	0	0
out spoken	0	0	0
Not	0	0	0
no	0	0	0
na	0	0	0
he's winning	0	0	0
n/a	0	0	0
No	0	0	0
Yes	0	0	0
No	0	0	0
none	0	0	0
That He says What he is thinking	0	0	0
good policies	0.578	-0.26799999999999996	0.28200000000000003
No	0	0	0
He loves America	0	0	0
nothing	0	0	0
nominated	0	0	0
no	0	0	0
He pays women on the same scale as men	0.011999999999999922	-0.24000000000000005	0.03399999999999999
values	0	0	0
Wages	0	0	0
no	0	0	0
No	0	0	0
His poll numbers improved.	-0.07400000000000002	-0.17200000000000007	0.08000000000000007
no	0	0	0
no	0	0	0
No	0	0	0
no	0	0	0
no	0	0	0
No	0	0	0
none	0	0	0
speaks his mind	0.34	0.009999999999999964	0.21799999999999997
yes, his cache with hispanics is up	-0.009999999999999964	-0.17200000000000007	0.2119999999999999
none	0	0	0
No	0	0	0
no	0	0	0
nothing	0	0	0
No.	0	0	0
Yes, he is better than he sounds at times, he wants to make our Country great again.	0.3153333333333333	-0.232	0.28133333333333327
no	0	0	0
Not really	0	0	0
Nothing g	0	0	0
ok	0	0	0
gender equality	0.17999999999999997	-0.12199999999999997	0.14200000000000002
none	0	0	0
no	0	0	0
none	0	0	0
no	0	0	0
he is different	0.18200000000000002	-0.20999999999999996	0.29399999999999993
Lesser of the evils	0	0	0
no	0	0	0
No	0	0	0
no	0	0	0
Lowering the deficit	-0.41	-0.16199999999999992	-0.16400000000000006
No	0	0	0
No	0	0	0
Nothing good	0.578	-0.26799999999999996	0.28200000000000003
Wants to make America great again	0.359	-0.21900000000000003	0.28700000000000003
No	0	0	0
no	0	0	0
He speaks his mind and its showing to the people he will do some more good the the recent presidents we've had recently	0.2146666666666667	-0.2376666666666667	0.19066666666666668
no	0	0	0
no	0	0	0
None	0	0	0
None	0	0	0
No	0	0	0
nothing	0	0	0
Yea he knows how to manipulate the media	-0.358	-0.04800000000000004	0.14800000000000005
NRA , SUPREME CT NOMINEES	0.22799999999999992	-0.14399999999999996	0.22200000000000006
Supreme Court picks	-0.03400000000000003	-0.129	0.005000000000000018
He might be lying about everything he's said and is secretly a Democrat.	0.23599999999999993	-0.31399999999999995	0.1
no	0	0	0
nra endorsement	0.20999999999999996	-0.24800000000000005	0.184
No	0	0	0
no	0	0	0
dans	0	0	0
no	0	0	0
Consistent	0.2859999999999999	-0.362	0.3539999999999999
Seems to be changing from childish antics to adult speech and commentary.	0.0616	-0.12040000000000002	0.1304
no	0	0	0
Nope	0	0	0
Close the border	-0.008999999999999987	-0.189	0.06800000000000006
Nope	0	0	0
Not much. Media bias against him.	-0.20999999999999996	-0.14600000000000007	0.08800000000000008
LATROBE, PA 15650	0	0	0
no	0	0	0
NO	0	0	0
No	0	0	0
Nothing	0	0	0
No	0	0	0
nothing	0	0	0
Nothing	0	0	0
No	0	0	0
NRA endorsed him	0	0	0
no	0	0	0
make america great again	0.359	-0.21900000000000003	0.28700000000000003
no	0	0	0
Protecting Gun Owners Rights	-0.26799999999999996	0.548	-0.05800000000000001
NONE	0	0	0
speeches	0	0	0
"These questions are bogus. I suppose the Republican elite rallying around him would be considered ""positive "" by some but not by me."	0.09319999999999996	-0.21679999999999996	0.09160000000000004
Only from himself	0	0	0
I dont remember	0.3	-0.372	0.2619999999999999
jobs in america	0	0	0
