line	valence	arousal	dominance
No	0	0	0
trump attacks on Bill Clinton	-0.271	-0.267	-0.01399999999999997
POSITION ON GUN CONTROL	-0.09000000000000002	0.05666666666666668	-0.006666666666666705
Nothing I can repeat. Very many negative comments, some profane.	-0.10699999999999998	-0.18100000000000002	0.07300000000000005
E-Mail scandal getting worse...	-0.274	0.12799999999999995	-0.22400000000000003
yes, she is calling herself the nominee even though the primary isn't over, very arrogant	-0.11066666666666665	-0.1466666666666666	0.11599999999999995
Everything!	0	0	0
High negatives	0.15399999999999991	-0.18000000000000008	0.15199999999999997
everything	0	0	0
lies about everything	0	0	0
Trump smears	-0.16400000000000006	-0.33399999999999996	0.17200000000000007
the Clinton Foundation corruption, and the pay for play Scandal, and the email Scandal keeps growing.	0.1708	-0.17600000000000002	0.1608
no	0	0	0
No	0	0	0
That she might consider Bill for a position in her administration	-0.016000000000000025	-0.3355	-0.022500000000000058
vulnerable	-0.28600000000000003	-0.1	-0.39
more propoganda that she is untrustworthy	-0.466	-0.040000000000000036	-0.15600000000000006
She's an alleged enabler and is going to jail	-0.44699999999999995	-0.04400000000000004	-0.18200000000000002
Too many to mention	0.07799999999999993	-0.47000000000000003	0.06600000000000002
everything	0	0	0
only from GOP	0	0	0
Negative likeability	-0.496	0.009999999999999964	-0.142
liar and conceited	-0.484	0.31799999999999995	-0.03399999999999999
E-mail problems, covering up for Bill Clinton's sexual escapades, crooked	-0.1386666666666667	0.008666666666666647	-0.05466666666666666
The media has nothing good to say about Hillary Clinton, ever.	0.38	-0.191	0.329
Nothing	0	0	0
May be indicted over email scandal	0.06799999999999995	-0.16199999999999998	0.07150000000000002
Lots mostly from Bernie	0	0	0
No	0	0	0
Repetitive email silliness	0.08799999999999997	-0.09733333333333333	0.14733333333333332
She refused to participate in a debate with Sanders in California.	0.04500000000000002	-0.06999999999999992	0.238
No	0	0	0
Many things (tired, corrupt, hiding Bill's crimes)	0	0	0
Bringing Billy in	0	0	0
Republicans lie about her.	-0.522	-0.038000000000000075	-0.05600000000000005
Nothing	0	0	0
criminal	-0.5780000000000001	-0.10199999999999995	-0.18200000000000002
Bengazi	0	0	0
Lost her lustre	-0.49400000000000005	0.022000000000000065	-0.22999999999999998
nonsense	-0.2	-0.09600000000000009	-0.051999999999999956
Oh, there is too much in her past that is wrong and irresponsible.	-0.167	0.0	-0.14300000000000002
yes	0	0	0
Hillary is a liar, untruthful, and will say and do anything to become elected.	0.14800000000000005	-0.2785	0.301
Yes. Liar. Liar. Liar.	0	0	0
Naming Bubba as her economic advisor	-0.016000000000000014	-0.31899999999999995	-0.00899999999999998
keeps stealing delegates	-0.45	-0.08599999999999994	0.1
She's in serious trouble re her private Email server	0.0216	-0.14120000000000002	0.023999999999999987
no	0	0	0
All the usuals	0	0	0
none	0	0	0
no	0	0	0
no	0	0	0
no	0	0	0
Nothing	0	0	0
yes Bill will be the real president because she cannot handle it	0.08866666666666669	-0.2476666666666667	0.07933333333333334
a chameleon warhawk; flip-flopper; actually more a Republican than Democrat; playing the woman card; dishonest; friend of Wall Street, Monsanto and corporations, not the people	0.1733333333333333	-0.26466666666666666	0.07666666666666666
None	0	0	0
a lot	0	0	0
hated by republicans	0	0	0
Yea- Bengazi/ EMail	0.2	-0.1	0.22200000000000006
cheater and liar	-0.46399999999999997	0.255	-0.11699999999999999
too much	0	0	0
another obama	0	0	0
No	0	0	0
yesh that she lies and takes money from crooked people plus her campaign is rigged	0.025999999999999985	-0.08449999999999999	0.002000000000000021
liar, thief	-0.536	0.20999999999999996	-0.372
Lies	0	0	0
Fees to Bill for favors from State	-0.11599999999999996	-0.271	-0.034999999999999976
email security, FBI investigation	0.03600000000000003	0.020000000000000018	0.22200000000000006
no	0	0	0
she stole the Kentucky election	-0.1	-0.15399999999999991	0.0
More covering up for paid speeches to Wall Street	0.01299999999999999	-0.365	-0.03700000000000001
Her emails were a violation of national security laws	-0.04533333333333334	-0.18933333333333333	0.06066666666666665
Untrustworthiness	0	0	0
Claims that she is a liar	-0.518	0.31999999999999995	-0.051999999999999956
Comments on eliminating coal jobs	-0.08800000000000008	-0.49000000000000005	-0.02400000000000002
yes, same old fox news bull	-0.11900000000000001	-0.08249999999999993	0.05449999999999999
She is totally crooked & corrupt!	-0.366	-0.16400000000000006	-0.364
Don't know	0.36400000000000005	-0.352	0.15600000000000006
Lied about e-mails	0	0	0
No	0	0	0
she lies	0	0	0
She purposely hid emails on her private server. She thinks she's the inevitable nominee.	-0.046	-0.21100000000000002	-0.252
emails, flip flopping on policies	0.11999999999999993	-0.07599999999999998	0.06400000000000006
telling lies about sanders	0	0	0
She is not indicted yet.	0	0	0
more scandal about her speeches	-0.274	0.12799999999999995	-0.22400000000000003
Not trustworthy	0.45	-0.15600000000000006	0.458
She is Bill's enabler	0	0	0
not enough said about emails, Benghazi, White Water, pork belly futures, etc. etc. etc.	0.03666666666666665	-0.2733333333333334	0.10133333333333332
getting rid of the coal miners,	-0.17700000000000005	-0.30700000000000005	-0.0060000000000000496
She let our people get murdered on her watch	0.15950000000000003	-0.32399999999999995	0.183
Claims not to be subject of FBI investiagtion	0.15099999999999997	-0.23699999999999996	0.187
Everything she says, does, promotes is negative. She's evil.	0	0	0
I heard she's a hawk.	0	0	0
Her campaign botched a venn diagram	0.001999999999999953	-0.279	0.12699999999999995
Deceptive and dishonorable	-0.394	0.07100000000000001	-0.24300000000000002
everthing	0	0	0
no	0	0	0
no	0	0	0
she is blaiming bernie for her low favorability ... wont debate sanders dispite giving her word	-0.040000000000000036	-0.235	0.049499999999999995
Hacking of emails.	0	0	0
Yes and just about everything	0	0	0
Dishonest, Cheater, hypocrite.	0	0	0
She could have prevented the embassy attacks by listening to the intel and the requests for more personnel.	0.11600000000000002	-0.257	0.15099999999999997
Emails, unethical, thinks she's royalty	0.10399999999999991	-0.13599999999999995	0.13599999999999995
yes. people aren't sure about her	0.23399999999999999	-0.275	0.22200000000000006
all over the place	0.17200000000000007	-0.296	0.30600000000000005
No	0	0	0
She and the rest of the Clinton family should cut ties with the Clinton Foundation.	0.26733333333333337	-0.21933333333333338	0.08733333333333337
Nothing	0	0	0
everything she says	0	0	0
na	0	0	0
So many lies	0	0	0
yes	0	0	0
She wimped out of a CA debate	-0.009999999999999964	-0.027999999999999935	0.192
not enought room to list all the negatives	0.14399999999999996	-0.43500000000000005	0.13200000000000003
Yes- a lot	0	0	0
changing her opinion all the time	0.19799999999999995	-0.20599999999999996	0.06400000000000006
Nothing	0	0	0
Trump said she is not fit to be president	0.09350000000000001	-0.20900000000000002	0.09250000000000003
No	0	0	0
none	0	0	0
She has too many negatives to win.	0	0	0
Yes she's a cunt	-0.25999999999999995	0.21999999999999992	-0.352
FBI criminal investigation	-0.353	0.019000000000000045	0.020000000000000018
YES	0	0	0
no	0	0	0
yes liar and thief	-0.527	0.26499999999999996	-0.21199999999999997
emails	0	0	0
Yes lots.	0	0	0
yes-just might be indicted: uncesure server	0.1529999999999999	-0.286	0.06399999999999997
emails, CASH, Bill	-0.378	-0.2	-0.2
pandering for black and female votes	0.292	-0.05199999999999995	0.19000000000000003
White water, Ben gisie, foundations, husband girl friends. Martha didn't have sex with that women, my faithful husband is going to help me straighten out the economy	0.3108000000000001	-0.089	0.17059999999999995
She engineered the fiasco at the Nevada Convention	-0.09500000000000001	-0.10499999999999998	-0.235
no	0	0	0
many things, vote manipulation sticks out	-0.192	-0.008999999999999985	0.21799999999999997
attempts to malign her character	0.22799999999999992	-0.13000000000000006	0.47400000000000003
Heard how she treated women Bill Raped!	-0.378	-0.2	-0.2
liar	-0.518	0.31999999999999995	-0.051999999999999956
e-mail scandal	-0.274	0.12799999999999995	-0.22400000000000003
not connecting with young voters	0.2619999999999999	-0.18200000000000002	0.11999999999999993
She lies.	0	0	0
no	0	0	0
yes, because to some people she can't do anything right	0.2286666666666667	-0.17066666666666666	0.26066666666666666
She is a liar !	-0.518	0.31999999999999995	-0.051999999999999956
Destroy coal industry; more lies	-0.277	-0.229	-0.08200000000000003
Little enthusiasm among voters	0.305	-0.16200000000000003	0.187
no	0	0	0
yes	0	0	0
Lost Oregon. She needs help to NOT look so stodgy. That's not the right word...she just never looks relaxed...a good quality once elected, but people don't react well to her.	0.20875000000000005	-0.13199999999999998	0.20425000000000001
Clinton Foun0dation under investigation for fraud	-0.359	0.088	-0.04099999999999997
Liar,Liar. Clinton foundation is a fraud!	0.17200000000000007	-0.518	0.28200000000000003
laughing about a rape victim in a case she was involved in many years ago	-0.41533333333333333	0.1166666666666667	-0.2433333333333333
Lots. Bill is a liability with his history of women.	-0.16266666666666665	-0.2026666666666667	-0.13066666666666668
She said people's votes in California don't matter	0.16400000000000006	-0.19000000000000003	0.22400000000000003
she is for comprehensive background checks for gun purchases and licenses	0.033333333333333326	0.0006666666666666673	0.09066666666666669
Only from Trump.	0	0	0
She's standing by her man	0.08399999999999999	-0.12799999999999995	0.08800000000000008
EVERY MINUTE OF EVERY DAY	0.18600000000000005	-0.262	-0.02400000000000002
Yes. Her health may be an issue	0.12649999999999995	-0.26749999999999996	0.14550000000000002
Everything is negative with that evil, murdering bitch!	-0.496	0.009999999999999964	-0.142
Convicted of treason	-0.39	0.15999999999999998	-0.266
She can't be trusted (lie)	0.23599999999999993	-0.31399999999999995	0.1
Lied about many issues	0	0	0
Should be in prison	-0.18800000000000003	-0.14700000000000002	-0.09599999999999999
should be in jail now	-0.19100000000000003	-0.21	-0.05899999999999998
Disregard for American sacrifice of life overseas.	0.06399999999999995	-0.06399999999999999	0.09133333333333328
Crooked hc	-0.366	-0.16400000000000006	-0.364
yes	0	0	0
no	0	0	0
Too much to list	0.17799999999999994	-0.49000000000000005	0.12200000000000007
About the leaks of the emails	0	0	0
She lies, and Cheats.	0	0	0
yes	0	0	0
passed	0	0	0
Electron fraud, rudeness and disrespect to your citizens, basic traits of a deplorable human being	-0.1146666666666667	-0.11099999999999999	-0.06999999999999997
no	0	0	0
No	0	0	0
I have heard nothing negative	-0.16199999999999998	-0.14300000000000002	0.000999999999999987
none	0	0	0
Ollt	0	0	0
Clinton can't be trusted	0.23599999999999993	-0.31399999999999995	0.1
her voice	0.3	-0.35	0.24399999999999994
emails	0	0	0
n/a	0	0	0
Yes. More about Bengazi.	0	0	0
Yes, she's bad	-0.352	-0.027999999999999935	-0.288
No	0	0	0
Past questionable judgements	-0.04299999999999997	-0.17400000000000002	-0.026000000000000068
That she would rather Sling mud than be truthful.	0.07049999999999995	-0.23349999999999996	0.07200000000000004
everything from the liar	-0.518	0.31999999999999995	-0.051999999999999956
No	0	0	0
She is a pathological liar	-0.488	0.009999999999999981	-0.12599999999999997
the improper use of email accounts in the past	-0.009000000000000032	-0.08999999999999998	0.04399999999999999
too much to list....	0	0	0
her emails	0	0	0
Problems with the Clinton foundation	0.17200000000000007	-0.518	0.28200000000000003
values	0	0	0
She sucks	0	0	0
No	0	0	0
Poll numbers are down	-0.07400000000000002	-0.17200000000000007	0.08000000000000007
negative ratings	-0.496	0.009999999999999964	-0.142
no	0	0	0
No	0	0	0
anything trump says i dont believe	0.12299999999999996	-0.33399999999999996	0.242
no	0	0	0
No	0	0	0
none	0	0	0
untrustworthy	-0.466	-0.040000000000000036	-0.15600000000000006
yes. She has threatened and intimidated the victims of her husband.	0	0	0
not truely	0	0	0
No	0	0	0
no	0	0	0
no	0	0	0
I have heard she has a high unfavorable rating but I don't believe it.	0.16599999999999998	-0.21400000000000002	0.22049999999999997
Yes, she is a crook, married to a sex offender, doesn't care at all about others, a murderer, and a liar.	0.437	0.02699999999999994	0.27299999999999996
she is in league with corporations	0.06999999999999992	-0.15	0.25600000000000006
She's a liar	-0.518	0.31999999999999995	-0.051999999999999956
Positive	0.514	0.1	0.45199999999999996
ok	0	0	0
bill's impeachment	-0.384	-0.16799999999999998	-0.10800000000000001
cheater	-0.41	0.19000000000000003	-0.18200000000000002
none	0	0	0
the usuall e mails	0	0	0
none	0	0	0
no	0	0	0
she is the anti-christ	0	0	0
Criminal!	0	0	0
emails	0	0	0
No	0	0	0
yes	0	0	0
Obscession about guys and transexuals	0	0	0
No	0	0	0
No	0	0	0
Email Benghazi	0.2	-0.1	0.22200000000000006
Bill Clinton	-0.378	-0.2	-0.2
No	0	0	0
yes	0	0	0
she's a liar and got the most part of people/women convinced she'll do good	0.02399999999999998	-0.1355	0.1355
no	0	0	0
Dirty Emails	-0.366	0.009999999999999964	0.009999999999999964
no	0	0	0
None	0	0	0
Just Trump lies	-0.16400000000000006	-0.33399999999999996	0.17200000000000007
No	0	0	0
will win	0.229	-0.149	0.44700000000000006
Yes she is skating to the nomination	0.12599999999999997	-0.192	0.2
Email scandal	-0.037000000000000005	0.01399999999999997	-0.000999999999999987
"Lied about email server, racist ""superpredator"" remarks, arrogant behavior about nomination. She's human garbage."	-0.10800000000000001	-0.1048	0.06839999999999999
no	0	0	0
benghazi, isis, syria, iraq, emails	0	0	0
Lies Lies, Private server, Bengahzi, Bill	-0.14499999999999996	-0.238	-0.16699999999999998
Benghazi and emails and pandering to minorities	0	0	0
no	0	0	0
dans	0	0	0
no	0	0	0
All she espouses is not believable!	0	0	0
No	0	0	0
no	0	0	0
She's a lying criminal	-0.5780000000000001	-0.10199999999999995	-0.18200000000000002
Liar	-0.518	0.31999999999999995	-0.051999999999999956
BENGHAZIIII (sarcasm)	0	0	0
No, it's not allowed.	0	0	0
LATROBE, PA 15650	0	0	0
her defence of a rapist in 1972 (i think)	-0.74	0.266	-0.558
Nothing I would listen to	0.28200000000000003	-0.24300000000000002	0.15
Trump calling her names	-0.16400000000000006	-0.33399999999999996	0.17200000000000007
nothing	0	0	0
She's a lying politician	-0.35	-0.05999999999999996	-0.18000000000000008
NO	0	0	0
Clinton Foundation is a slush fund for her campaign.	0.1393333333333333	-0.256	0.14933333333333335
no	0	0	0
her right hand man is getting sued	0.2426666666666667	-0.11066666666666665	0.23200000000000007
untrustworthy	-0.466	-0.040000000000000036	-0.15600000000000006
She is against the right to bear arms	0.26500000000000007	-0.05	0.07500000000000001
crooked	-0.366	-0.16400000000000006	-0.364
Gun Control	-0.191	0.25	0.017999999999999967
NONE	0	0	0
no	0	0	0
Same as above.	0	0	0
Liar	-0.518	0.31999999999999995	-0.051999999999999956
No	0	0	0
I dont know	0.36400000000000005	-0.352	0.15600000000000006
Some people claimed that her campaign and the Democratic party are sabotaging Bernie's ability to win delegates.	0.23666666666666666	-0.062000000000000006	0.2496666666666667
no	0	0	0
She's a woman.	0	0	0
She is more of the same, big government, and untrustworthy.	0.12799999999999995	-0.13399999999999998	0.12200000000000007
helped free a rapist by treating victim as unreliable	-0.28300000000000003	0.0685	-0.21500000000000002
Email controversy	-0.07899999999999999	0.05899999999999998	-0.01399999999999997
no	0	0	0
she is all talk	0.32799999999999996	-0.324	0.2880000000000001
Bengazi	0	0	0
Liar	-0.518	0.31999999999999995	-0.051999999999999956
No	0	0	0
no	0	0	0
to much to list	0.17799999999999994	-0.49000000000000005	0.12200000000000007
Too many to list	0.17799999999999994	-0.49000000000000005	0.12200000000000007
superdelegates and everything else that's been said already	0	0	0
dont' recall	-0.04600000000000008	-0.10399999999999991	0.15600000000000006
She's losing the general election polls	-0.017999999999999974	-0.20599999999999996	0.02400000000000002
