line	valence	arousal	dominance
Avoiding the calamitous consequences of a Republican win.	-0.14800000000000005	-0.378	0.08000000000000007
Position on Workers Rights	0.11199999999999992	-0.32999999999999996	-0.05600000000000005
protecting those who are the most vulnerable	-0.28600000000000003	-0.1	-0.39
Second Amendment rights.	0.083	-0.302	0.01199999999999992
protecting the US Consitiution	0	0	0
Economy	-0.27199999999999996	0.06400000000000006	-0.16799999999999998
Honesty and trust	0.46699999999999997	-0.23800000000000004	0.376
integrity	0.22200000000000006	-0.328	0.392
Make America Strong	0.2899999999999999	-0.11900000000000004	0.27599999999999997
Progressive values	0.25199999999999995	-0.12400000000000003	0.32200000000000006
sound political philosophy	0.08533333333333336	-0.26400000000000007	0.07866666666666665
protecting the constitution	0.09399999999999994	-0.32999999999999996	0.08000000000000007
Eliminating Conservatives from Congress	-0.29000000000000004	-0.278	-0.304
anti Washington	-0.10600000000000005	-0.15399999999999991	0.009999999999999964
the worst democrat is better for me than the best republican	-0.020000000000000018	-0.12399999999999997	0.10100000000000006
Competence	0.23000000000000007	-0.25599999999999995	0.3
The economy and the Supreme Court	-0.11333333333333334	-0.06466666666666665	-0.052666666666666646
Integrity	0.22200000000000006	-0.328	0.392
philosophy	0.09600000000000009	-0.42000000000000004	0.31999999999999995
candidate must be progressive, competent	0.10899999999999999	-0.153	0.12400000000000003
A world view based on thoughtful considerations	0.3593333333333333	-0.3066666666666667	0.23866666666666667
This is too narrow a question to answer. There are too many factors which are important.	0.13100000000000006	-0.18	0.10700000000000004
character	0.22799999999999992	-0.13000000000000006	0.47400000000000003
vision	0.358	-0.364	0.2539999999999999
Integrity	0.22200000000000006	-0.328	0.392
the 2nd amendment	0.11999999999999993	-0.3	-0.04600000000000008
Love for America	0.6	0.07200000000000006	0.184
Issues. What the candidate wants to do and how they plan to accomplish it. Talk is cheap, come up with a viable plan of action.	0.19799999999999998	-0.17475	0.26000000000000006
Intelligence and empathy	0.494	-0.00599999999999995	0.262
Honesty	0.48599999999999993	-0.336	0.36199999999999993
Putting the USA first	0.466	-0.019999999999999928	0.27599999999999997
Working towards Single Payer health care	0.32533333333333325	-0.3333333333333333	0.15933333333333333
Qualification	0	0	0
Integrity	0.22200000000000006	-0.328	0.392
Intelligence	0.53	0.26400000000000007	0.344
Economic stratification and the concentration of wealth by the top 1% of people.	0.194	-0.14049999999999999	0.181
Social Security & Medicare	0.24900000000000003	-0.06499999999999995	0.11699999999999999
Immigration Policy	-0.223	-0.24800000000000005	-0.038999999999999965
Competence	0.23000000000000007	-0.25599999999999995	0.3
economy	-0.27199999999999996	0.06400000000000006	-0.16799999999999998
Kindness and compassion for people.	0.555	-0.15400000000000003	0.33100000000000007
Gun Control	-0.191	0.25	0.017999999999999967
Candidate's stand on issues	0.053999999999999916	-0.38	0.17799999999999994
gun control	-0.191	0.25	0.017999999999999967
Reasonable and experienced	0.368	-0.4	0.176
Economic equality	0.18499999999999994	-0.16499999999999995	0.021000000000000005
trust	0.44800000000000006	-0.14000000000000004	0.39
Honest, reliable, cares about ourcountry	0	0	0
honesty	0.48599999999999993	-0.336	0.36199999999999993
Decisiveness	0	0	0
Love and Put America & Americans first.	0.309	-0.07799999999999999	0.18600000000000005
Integrity	0.22200000000000006	-0.328	0.392
that they have a brain that they use to think a problem thru.	0.09839999999999999	-0.21519999999999997	0.1376
Ability to get things done	0.309	-0.14800000000000005	0.22
Competence	0.23000000000000007	-0.25599999999999995	0.3
character	0.22799999999999992	-0.13000000000000006	0.47400000000000003
illegal immigration	-0.34700000000000003	-0.023000000000000048	-0.17800000000000002
competincy	0	0	0
What they are likely to accomplish, and suitability for the job	0.254	-0.15800000000000003	0.058
executive experience	0.184	-0.19699999999999998	0.18900000000000006
Hillary Clinton	0	0	0
experience	0.37799999999999995	-0.258	0.38800000000000007
unsure	-0.32599999999999996	-0.09000000000000004	-0.27199999999999996
if i think they are qualified to be president	0.20599999999999996	-0.20733333333333334	0.09200000000000001
Personally a women President has more instinct of promise.	0.09000000000000002	-0.08499999999999996	0.06399999999999996
position on the issues	0.11199999999999992	-0.32999999999999996	-0.05600000000000005
Union rights	0.16999999999999993	-0.19000000000000003	0.13599999999999995
Smart	0.546	-0.238	0.36199999999999993
strong leadership to get America back to its #1 role in the world	0.17399999999999996	-0.16300000000000003	0.15766666666666668
working for the people, not corportions	0	0	0
working for the people	0.14000000000000004	-0.246	0.08000000000000007
Whether that person qualifies for the job.	0.21999999999999992	-0.258	0.2
experience	0.37799999999999995	-0.258	0.38800000000000007
experience and policy positions	0.06599999999999998	-0.29900000000000004	0.30500000000000005
veterans	0	0	0
honesty	0.48599999999999993	-0.336	0.36199999999999993
integrity	0.22200000000000006	-0.328	0.392
honesty	0.48599999999999993	-0.336	0.36199999999999993
Presidential material	0.06600000000000002	-0.22000000000000003	0.06600000000000002
that they do what they say they are going to do!	0.13200000000000003	-0.19000000000000003	0.32299999999999995
Social Security	0.24900000000000003	-0.06499999999999995	0.11699999999999999
pro-US and honest	0.632	-0.2	0.34
Fiscal conservative	-0.12999999999999998	-0.33	0.00500000000000007
Adherence to Constitution	0.09399999999999994	-0.32999999999999996	0.08000000000000007
terrorism	-0.6799999999999999	0.484	-0.462
NO GUNS and made in America	0	0	0
protect our country from terrorism	-0.02866666666666669	-0.011333333333333343	-0.008666666666666692
economy	-0.27199999999999996	0.06400000000000006	-0.16799999999999998
Honest	0.632	-0.2	0.34
Time to get the Republican party back on top!	0.11559999999999995	-0.24559999999999998	0.06200000000000002
Restore America's strength at home and abroad.	0.3380000000000001	-0.12133333333333339	0.39666666666666667
Support Democratic party unless the nominated person is hopelessly unqualified	0.174	-0.1264	0.146
Core principles	0.16400000000000006	-0.33699999999999997	0.25199999999999995
no person working should live in poverty	0.07000000000000002	-0.08533333333333336	0.044000000000000004
Get away from the bureauocacy	0.21799999999999997	-0.266	0.13000000000000006
Democrat	0.10800000000000001	0.13000000000000006	0.12200000000000007
Positive outlook for the future	0.36000000000000004	-0.049333333333333305	0.26066666666666666
Experience in government	0.06699999999999995	-0.254	0.005000000000000032
