line	valence	arousal	dominance
Bigotry driven by xenophobia and ignorance.	-0.5519999999999999	0.23000000000000007	-0.09399999999999994
Racist opposition to it	-0.47400000000000003	-0.06600000000000002	-0.16299999999999998
Immigrants living in the shadows.	0	0	0
allows business people to exploit their workers	-0.011333333333333298	-0.152	-0.005999999999999996
Xenophobia, racism of ignorant citizens	-0.528	0.005999999999999964	-0.14699999999999996
The vast majority of illegal immigrants are decent hard working people who want a chance to make a better life for their children and families. They are not causing problems.	0.1029090909090909	-0.07418181818181818	0.10418181818181817
None	0	0	0
Right wing hysteria	0.15066666666666673	-0.005999999999999996	0.14133333333333334
Misunderstanding and prejudice.	-0.42800000000000005	-0.09600000000000009	-0.23399999999999999
Difficulty keeping track and providing help	0.020000000000000018	-0.18266666666666667	0.07999999999999996
Lack of jobs	-0.26399999999999996	-0.5519999999999999	0.092
Nothing	0	0	0
if terrorists come in	0.12799999999999995	-0.28600000000000003	0.18800000000000008
talking heads on tv & radio beat the issue to death.	0.01899999999999999	-0.09250000000000003	0.12849999999999998
not a problem	-0.296	-0.038000000000000075	-0.011999999999999922
hate against them	-0.608	0.25199999999999995	-0.10600000000000005
not sure	0.32799999999999996	-0.304	0.36400000000000005
Automotive accidents	0.07400000000000002	-0.1	0.07599999999999998
People being unwilling to get help for fear of being deported	-0.003199999999999992	-0.09960000000000004	0.030400000000000017
No oroblem	0	0	0
children arrive without their parents	0.277	0.008999999999999985	0.279
Language difficulty keeps illegal immigrates from integrating into the society to get jobs that may create a population dependent on crime.	0.011777777777777755	-0.1373333333333333	0.1166666666666667
small amount turn to crime	-0.071	-0.194	-0.0445
bigotry from those that don't like the immigrants	-0.03199999999999992	0.05500000000000007	0.08100000000000006
Jobs for legals are lessened because the undocumented will work more cheaply and thus undercutting legal job seekers.	0.0625	-0.271	0.19250000000000003
Ensuring fair treatment of migrant workers by businesses	0.21399999999999997	-0.224	0.06500000000000004
obtaining an income without paying any taxes	0.25199999999999995	-0.23600000000000004	0.2720000000000001
conservatives complaining about them	0	0	0
Jobs	0	0	0
I don't see any problems.	0.2539999999999999	-0.22000000000000003	0.2
Gives politicians something to focus on besides the things that really matter	0.2300000000000001	-0.15	0.29600000000000004
Over crowding in schools	0	0	0
using up all of our federal funds	-0.388	-0.10999999999999996	-0.44800000000000006
Causes the Republican Party to go bat shit crazy!	0.05920000000000001	-0.028399999999999974	0.02120000000000001
"I am welcoming of immigration, the issue with illegal immigration is those being paid ""under the table"" by employers paying below minimum wages. Providing immigrant status would (1) offer wage protection to the worker, and (2) the worker would pay taxes."	0.04615384615384618	-0.18184615384615388	0.068
populaton	0	0	0
Illegal immigrants are exploited for labor, in the long run it keeps the pay for certain jobs are not a livable wage. The overall economy suffers as a consequence.	0.0030000000000000213	-0.12333333333333334	0.07466666666666669
Individuals dying during the journey	0.33000000000000007	-0.022000000000000065	0.3539999999999999
The political grandstanding	-0.13000000000000006	-0.2	-0.184
not sure	0.32799999999999996	-0.304	0.36400000000000005
Cost of free services.	0.23600000000000004	0.02800000000000003	0.016999999999999987
I guess it would be the potential jobs they're taking away from citizens.	0.2065	-0.24050000000000002	0.13999999999999999
Corporations complain about them while simultaneously taking advantage of them	-0.019000000000000017	-0.08700000000000001	0.22899999999999998
Health care and housing	0.3559999999999999	-0.408	0.24533333333333332
the u.s.	0	0	0
ignorant people with no real knowlege of the situation	0.06800000000000002	-0.19750000000000004	-0.015499999999999979
drain on healthcare due to hospital visits	-0.149	-0.15250000000000002	-0.15899999999999997
Lack of uncollected taxes	-0.26399999999999996	-0.5519999999999999	0.092
strain on services: hospital, schools, housing without being able to pay themselves	0.1215	-0.2435	0.135
i dont know	0.36400000000000005	-0.352	0.15600000000000006
Trump	-0.16400000000000006	-0.33399999999999996	0.17200000000000007
Na	0	0	0
undocumented criminals	0	0	0
maybe a strain on not paying taxes	-0.258	-0.04399999999999995	-0.184
no taxes being paid	0	0	0
taxes	0	0	0
people perceiving they are taking over jobs when it is only jobs U citizens do not want to do	0.12600000000000003	-0.18	0.17449999999999996
Taking jobs off of some college kids trying to pay for thier education.	0.2766666666666668	-0.0713333333333333	0.15666666666666665
not sure	0.32799999999999996	-0.304	0.36400000000000005
none	0	0	0
stealing jobs	-0.45	-0.08599999999999994	0.1
jobs	0	0	0
Unnecessary stress stomach ulcers	-0.27066666666666667	-0.18200000000000002	-0.10599999999999997
them getting arrested.	0	0	0
Jobs	0	0	0
Racism	-0.704	0.176	-0.10800000000000001
no jobs for americans to much freedom no taxes for them	0.5439999999999999	0.13399999999999998	0.47400000000000003
The unaccepting nature of the closed minded Republican party	0.2213333333333333	-0.12066666666666669	0.08800000000000002
racists thinking that it's okay to harm them.	-0.618	0.18000000000000008	-0.20999999999999996
overpopulation	0	0	0
I don't believe there is a problem. I think there is a bunch of fear mongering by Conservatives.	0.12450000000000001	-0.1985	0.046999999999999945
hatred by the people who hate them	-0.33066666666666666	0.016666666666666635	-0.07533333333333332
How much money we spend to hunt them down and deport them	-0.0005000000000000143	0.013999999999999999	0.0615
RACIAL HATRED	-0.397	-0.07300000000000004	-0.2
Republicans	0	0	0
Not sure	0.32799999999999996	-0.304	0.36400000000000005
I. Don't see a huge problem with it.	0.033999999999999954	-0.1366666666666667	0.05533333333333334
Conservatives who bitch about immigration.	-0.49000000000000005	0.19000000000000003	-0.27
Don't know	0.36400000000000005	-0.352	0.15600000000000006
loss of jobs	-0.42000000000000004	0.040000000000000036	-0.10600000000000005
crime	-0.61	0.13599999999999995	-0.33799999999999997
assistance	0.16400000000000006	-0.23600000000000004	0.29000000000000004
The media and demagogues pretending that they're dangerous or cause harm with questions like this that presume some negative quality.	-0.222	-0.031999999999999994	-0.0673333333333333
jobs	0	0	0
Population	-0.038000000000000075	-0.20800000000000002	-0.15199999999999997
The Republican Party rhetoric	0.06933333333333329	-0.12733333333333333	0.06666666666666667
nothing	0	0	0
Cost of housing	-0.0040000000000000036	-0.23699999999999996	-0.02099999999999999
not sure	0.32799999999999996	-0.304	0.36400000000000005
Nothing; they really don't cause any problems	0.027999999999999935	-0.304	0.03399999999999999
People who are offended by their presence and fight to remove them from our country.	-0.03999999999999999	-0.1595	0.011499999999999976
poverty	-0.6	0.05999999999999996	-0.368
UNEMPLOYMENT	-0.536	0.11799999999999997	-0.41
The cost of border patrol and ensuing legal costs	-0.09649999999999999	-0.1595	0.017999999999999988
no idea	0.41	-0.06799999999999998	0.22200000000000006
NA	0	0	0
not being able to speak English	0.255	-0.24299999999999997	0.20599999999999996
Lazy Mexicans	-0.39	-0.39	0.158
using our resources without paying taxes	0	0	0
Low wages	-0.12200000000000007	-0.558	-0.378
maybe stressing the emergency room services?	-0.173	-0.04700000000000004	-0.15699999999999997
Children of these immigrant not receiving a proper education and health care.	0.236	-0.15560000000000002	0.2008
abuse of human beings because they lack legal status to fight back, eg; employers, law enforcement	-0.13625	-0.15974999999999998	-0.011500000000000008
poverty	-0.6	0.05999999999999996	-0.368
the resentment that people feel, xenophobia	-0.13	-0.10399999999999995	-0.05499999999999998
Employment	0.2	0.003999999999999915	0.07200000000000006
na	0	0	0
Putting a strain on critical services such as medical	-0.14133333333333334	-0.08133333333333331	-0.16533333333333336
None	0	0	0
Unfair to people who immigrated here legally	-0.11499999999999998	-0.248	-0.05999999999999997
Job loss to legal citizens.	-0.08133333333333335	-0.1633333333333333	0.03933333333333333
none	0	0	0
The fact that this issue is mischaracterized by pundits and politicians (i.e. Republicans) and used as propaganda to advance their fear-driven political agenda, diverting attention from more reldvent issues and problems confronting us in this country.	0.022666666666666672	-0.14966666666666667	0.051999999999999984
that the us government does nothing about the people who are there. they work all their lives, pay taxes through sales tax and governmental fees and get no protections later on in life. the only problem is that we are not doing anything about the people here and instead have an entire economic system built upon a slave wages labor market. we should be decent human beings and just grant them citizenship so they can live a worry free life, contribute to society and get the benefits of the society in which they have already integrated their lives.	0.07371428571428572	-0.1714285714285714	0.06514285714285716
Money not staying in the US	0.41999999999999993	0.37200000000000005	0.26400000000000007
Unsure	-0.32599999999999996	-0.09000000000000004	-0.27199999999999996
The illegal immigrant being abused because of their status	-0.1433333333333334	-0.03800000000000002	-0.060000000000000026
Racism on the part of those born here.	-0.09466666666666666	-0.12400000000000001	-0.10333333333333335
They have no money or health care. Tax payers are out money on them.	0.19639999999999996	0.009600000000000008	0.09640000000000003
